wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
25570,,,8.91E-05
25580,,,8.90E-05
25590,,,8.89E-05
25600,,,8.88E-05
25610,,,8.87E-05
25620,,,8.86E-05
25630,,,8.85E-05
25640,,,8.84E-05
25650,,,8.82E-05
25660,,,8.81E-05
25670,,,8.80E-05
25680,,,8.79E-05
25690,,,8.78E-05
25700,,,8.77E-05
25710,,,8.76E-05
25720,,,8.75E-05
25730,,,8.74E-05
25740,,,8.73E-05
25750,,,8.72E-05
25760,,,8.71E-05
25770,,,8.70E-05
25780,,,8.69E-05
25790,,,8.68E-05
25800,,,8.67E-05
25810,,,8.66E-05
25820,,,8.65E-05
25830,,,8.64E-05
25840,,,8.63E-05
25850,,,8.62E-05
25860,,,8.61E-05
25870,,,8.60E-05
25880,,,8.59E-05
25890,,,8.58E-05
25900,,,8.57E-05
25910,,,8.56E-05
25920,,,8.55E-05
25930,,,8.54E-05
25940,,,8.53E-05
25950,,,8.52E-05
25960,,,8.51E-05
25970,,,8.50E-05
25980,,,8.49E-05
25990,,,8.47E-05
26000,,,8.46E-05
26010,,,8.45E-05
26020,,,8.44E-05
26030,,,8.43E-05
26040,,,8.42E-05
26050,,,8.41E-05
26060,,,8.41E-05
26070,,,8.40E-05
26080,,,8.39E-05
26090,,,8.38E-05
26100,,,8.37E-05
26110,,,8.36E-05
26120,,,8.35E-05
26130,,,8.34E-05
26140,,,8.33E-05
26150,,,8.32E-05
26160,,,8.31E-05
26170,,,8.30E-05
26180,,,8.29E-05
26190,,,8.28E-05
26200,,,8.27E-05
26210,,,8.26E-05
26220,,,8.25E-05
26230,,,8.24E-05
26240,,,8.23E-05
26250,,,8.22E-05
26260,,,8.21E-05
26270,,,8.20E-05
26280,,,8.19E-05
26290,,,8.18E-05
26300,,,8.17E-05
26310,,,8.16E-05
26320,,,8.15E-05
26330,,,8.14E-05
26340,,,8.13E-05
26350,,,8.12E-05
26360,,,8.11E-05
26370,,,8.10E-05
26380,,,8.09E-05
26390,,,8.08E-05
26400,,,8.08E-05
26410,,,8.07E-05
26420,,,8.06E-05
26430,,,8.05E-05
26440,,,8.04E-05
26450,,,8.03E-05
26460,,,8.02E-05
26470,,,8.01E-05
26480,,,8.00E-05
26490,,,7.99E-05
26500,,,7.98E-05
26510,,,7.97E-05
26520,,,7.96E-05
26530,,,7.95E-05
26540,,,7.94E-05
26550,,,7.93E-05
26560,,,7.93E-05
26570,,,7.92E-05
26580,,,7.91E-05
26590,,,7.90E-05
26600,,,7.89E-05
26610,,,7.88E-05
26620,,,7.87E-05
26630,,,7.86E-05
26640,,,7.85E-05
26650,,,7.84E-05
26660,,,7.83E-05
26670,,,7.82E-05
26680,,,7.82E-05
26690,,,7.81E-05
26700,,,7.80E-05
26710,,,7.79E-05
26720,,,7.78E-05
26730,,,7.77E-05
26740,,,7.76E-05
26750,,,7.75E-05
26760,,,7.74E-05
26770,,,7.73E-05
26780,,,7.72E-05
26790,,,7.72E-05
26800,,,7.71E-05
26810,,,7.70E-05
26820,,,7.69E-05
26830,,,7.68E-05
26840,,,7.67E-05
26850,,,7.66E-05
26860,,,7.65E-05
26870,,,7.64E-05
26880,,,7.64E-05
26890,,,7.63E-05
26900,,,7.62E-05
26910,,,7.61E-05
26920,,,7.60E-05
26930,,,7.59E-05
26940,,,7.58E-05
26950,,,7.57E-05
26960,,,7.57E-05
26970,,,7.56E-05
26980,,,7.55E-05
26990,,,7.54E-05
27000,,,7.53E-05
27010,,,7.52E-05
27020,,,7.51E-05
27030,,,7.50E-05
27040,,,7.50E-05
27050,,,7.49E-05
27060,,,7.48E-05
27070,,,7.47E-05
27080,,,7.46E-05
27090,,,7.45E-05
27100,,,7.44E-05
27110,,,7.44E-05
27120,,,7.43E-05
27130,,,7.42E-05
27140,,,7.41E-05
27150,,,7.40E-05
27160,,,7.39E-05
27170,,,7.38E-05
27180,,,7.38E-05
27190,,,7.37E-05
27200,,,7.36E-05
27210,,,7.35E-05
27220,,,7.34E-05
27230,,,7.33E-05
27240,,,7.32E-05
27250,,,7.32E-05
