,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,R,dR,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
0,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05,35.23506729555691,34.75534223299653,34.398811036695285,34.180471990820976,34.06973185900986,34.022965044870666,34.00644063936363,34.001536873199726,34.00031157489141,34.00005353138061,34.00000776298288,34.00000094451226,34.00000009558281,34.000000007947186,34.000000000533504,34.0000000000282,34.00000000000113,34.000000000000036,34.0,33.99999999999998,33.99999999999946,33.99999999998952,33.999999999839496,33.999999998008185,33.999999979612696,33.99999982563193,33.9999987419125,33.999992287989926,33.999959621634666,33.99981868466662,33.999299382930474,33.99766316676899,33.99324952923104,33.98303921682376,33.962718212585216,33.92772332930003,33.99154781049649,-0.0004226094751754062,1.5097730087965289,,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.05,35.31331652367083,34.95779027801081,34.65079129095735,34.41029884422789,34.239283353879024,34.12880102342169,34.06389418062966,34.02918162956052,34.01226324720696,34.00474034786806,34.00168524275873,34.00055099087185,34.00016567377293,34.000045812207695,34.00001164908057,34.00000272337027,34.000000585111316,34.000000115007715,34.0000000180109,33.99999998817099,33.99999992675937,33.99999967239414,33.99999865740275,33.99999492281103,33.999982270671644,33.99994280350131,33.999829437487826,33.99952956434721,33.99879898829918,33.99715917886641,33.99376647937349,33.98729079971106,33.97587337754526,33.95724399675859,33.92904084125769,33.88928755400248,33.97276848074748,-0.0009389664874504434,0.8938944955504695,-0.6158785132460594,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.05,35.34898946017603,35.056469615323806,34.79068831454488,34.56412548082314,34.38289956160362,34.24684354265542,34.15094698068975,34.087469635586736,34.047994401066546,34.02492191725928,34.01224215786954,34.00568728326005,34.00249833861064,34.00103767263906,34.000407490793144,34.000151286552274,34.0000530659878,34.000017455194545,34.00000494856346,33.999999808003835,33.99999501969176,33.99998482500079,33.99995925146435,33.99989690039669,33.999752664799395,33.99943688205545,33.998782644961736,33.997499724989275,33.99511779906804,33.990928607105126,33.9839448305183,33.972899334223406,33.956307198393404,33.932601104892164,33.90032881022869,33.85837625659686,33.952356182809865,-0.0010206148968809005,0.7616236811131216,-0.1322708144373479,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.05,35.36901534955197,35.11326466492162,34.87529473187578,34.664245208791634,34.48582930381351,34.34204519192522,34.231569092239525,34.150628232779425,34.09407201085048,34.05637687840428,34.0324068369802,34.01786151591242,34.00943697164955,34.00477852700667,34.002318608127965,34.001077674909666,34.000479056776044,34.000201711488195,34.00007544972816,34.00001238151442,33.999964406637126,33.999896686660556,33.999768837325036,33.99951766881915,33.99903719025824,33.99815340582703,33.996593540047066,33.993952034179266,33.989658880072696,33.98295897079996,33.972912985098255,33.958429515716034,33.93833374184309,33.91147008230418,33.876826616897276,33.83366058306764,33.933856465253264,-0.0009249858778300536,0.831728747336868,0.07010506622374635,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.05,35.38273229113019,35.15266724661482,34.93550701519308,34.73826177484889,34.565858918892324,34.42084322085063,34.30344951495231,34.21198221960734,34.14338362799125,34.09385745099868,34.059432679416716,34.03639308641647,34.02154392224863,34.012326314311416,34.00681420811497,34.003637325872575,34.00187008323314,34.00091609810396,34.000405882874574,34.00011492624868,33.99990216050842,33.99966485515681,33.99930459645404,33.99869933917849,33.99767784143813,33.99599465404048,33.99330594861406,33.98914858724198,33.98292663423503,33.97391054641434,33.96125407458186,33.94403212971305,33.92129952988299,33.8921661655276,33.85587970382333,33.811903759652864,33.916443969157086,-0.0008706248048088839,0.8577881569282226,0.026059409591354665,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.05,35.392881460852024,35.182055717747446,34.98114070378055,34.79571663246337,34.62998955850999,34.486537597801544,34.36627777840887,34.268631832620784,34.1918374935986,34.13333554565204,34.09016319910602,34.05929811858977,34.03791873444111,34.02356890471664,34.014233489453176,34.00834318707807,34.00473167844242,34.002567086712425,34.00127518589229,34.00046587842593,33.99986889225971,33.99928038881438,33.9985195551013,33.997393165157774,33.99566619817655,33.993037477894966,33.98912053946231,33.98343115646121,33.97538383029616,33.96429977159447,33.94942830327921,33.92998216151352,33.90518504586708,33.87432736978975,33.83682403608496,33.79226678569045,33.90004209985419,-0.0008200934651448222,0.8815795187461788,0.023791361817956158,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.05,35.400782177189484,35.20505968716295,35.017255637706924,34.84194203699103,34.68272918420153,34.54205964855269,34.4211416153276,34.32001558106761,34.23772886623765,34.17257987233607,34.12238994382451,34.084764508156084,34.05731465381445,34.03782247740261,34.02434548185599,34.01526487583321,34.009288700326074,34.005423206596234,34.00292549361149,34.001248124365304,33.999983352731014,33.99881157459379,33.99745622287598,33.99564579211877,33.9930829857654,33.989420940797025,33.98424682627049,33.9770735412559,33.96734049116129,33.95442430696033,33.93765979748695,33.91637041899124,33.889906259017806,33.85768621348496,33.81923998723733,33.77424505119349,33.884536251429,-0.0007752924212596213,0.900744991047219,0.019165472301040154,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.05,35.4071583286825,35.22369940656553,35.04675483646285,34.88015662601538,34.727033162036655,34.589642704274944,34.46929955019597,34.36639267917758,34.28048429556078,34.2104666526273,34.15475102291848,34.11146281035299,34.07862078301926,34.05428485064947,34.03666413170866,34.024183842165186,34.0155148101419,34.009572723134426,34.00549557662536,34.00260759071544,34.000376643428034,33.99837059630797,33.99621621751017,33.99356303552508,33.9900535083684,33.98530035051691,33.97887160794913,33.97028394937063,33.959004489637145,33.944461159631906,33.9260611305376,33.90321611073731,33.87537255301958,33.8420440822374,33.80284294185207,33.75750710458284,33.86981780788922,-0.0007359221769888791,0.915402777550895,0.014657786503676107,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.05,35.41244458339568,35.239200372951245,35.07143729254084,34.912426153065006,34.76490482762324,34.63094275447028,34.5118696658658,34.40827045500096,34.32003995470394,34.24648495061133,34.18645681617844,34.13849702231591,34.10097919785166,34.07223475323983,34.0506534715374,34.03475504917681,34.023231619988195,34.014964358036075,34.00901914593893,34.004627075730596,34.00115544586777,33.99807423499522,33.99492207214535,33.99127472602205,33.98671825627554,33.98082826953205,33.97315619055483,33.96322303621783,33.95052079367701,33.93452109323675,33.91469040179975,33.89051045624368,33.86150215819337,33.82725073985618,33.78742977000458,33.7418215709135,33.855793588470505,-0.0007012109709357618,0.926230889492956,0.010828111942060903,,35.5,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
