,PSI,Ratio
0.3,0.7769744898071296,0.9058561072702976
0.4,0.7872270185911864,0.9178092871183359
0.5,0.6622642360500107,0.7721181463776488
0.6,0.5792249956900148,0.6753046679301634
0.7000000000000001,0.45538608189800317,0.5309238190762191
0.8,0.42729024648366476,0.49816755174335303
0.9,0.4470530105144424,0.5212084890310954
1.0,0.4538680162920438,0.5291539424349195
1.1,0.4124823972872112,0.48090343199924823
1.2,0.44784322234285884,0.5221297782371103
1.3,0.4426076568937371,0.5160257568061396
1.4000000000000001,0.5970019566763701,0.696030404604212
1.5,0.7038487250588387,0.8206005146285191
1.6,0.6480834671805086,0.755585124695797
1.7,0.6436573173649508,0.7504247817312402
1.8,0.638664355837963,0.7446036064521003
1.9000000000000001,0.7720619236520706,0.9001286630461839
2.0,0.8403638617446354,0.9797602707388717
2.1,0.8183970135345937,0.9541496440457284
2.2,0.8183970135345937,0.9541496440457284
2.3000000000000003,0.8183970135345937,0.9541496440457284
2.4,0.8183970135345937,0.9541496440457284
2.5,0.8183970135345937,0.9541496440457284
2.6,0.8577239625269633,1.0
2.7,0.8524229752494433,0.9938197048128368
2.8000000000000003,0.8524192450645076,0.993815355878799
2.9,0.8524192450645076,0.993815355878799
3.0,0.8524192450645076,0.993815355878799
3.1,0.8524192450645076,0.993815355878799
3.2,0.8524192450645076,0.993815355878799
3.3000000000000003,0.852419245067812,0.9938153558826515
3.4,0.8524213765762616,0.9938178409577371
3.5,0.8524656225314247,0.9938694262661768
3.6,0.8537425581664376,0.9953581752003338
3.7,0.854354906286012,0.9960720973318437
3.8000000000000003,0.8547300911669418,0.9965095164752059
3.9,0.8550410498252454,0.9968720557907539
4.0,0.8548345884766254,0.9966313474071246
4.1,0.853681478317503,0.9952869636548912
4.2,0.8531538069716821,0.9946717641631266
4.3,0.8526429827023972,0.994076206277837
4.4,0.8525970129723424,0.9940226112611845
4.5,0.852510376744035,0.9939216041399048
4.6000000000000005,0.8525190259659664,0.9939316880623663
4.7,0.8525281728891501,0.9939423522428991
4.8,0.8525980975999984,0.9940238758028126
4.9,0.8526128238383739,0.9940410447744384
5.0,0.8526807151035707,0.994120197588354
5.1000000000000005,0.8527212221952283,0.9941674238446174
5.2,0.8528170362881352,0.9942791312202919
5.3,0.8528450455689477,0.9943117865756698
5.4,0.8528450455689477,0.9943117865756698
5.5,0.8528457052165392,0.9943125556431325
5.6000000000000005,0.8527681621897946,0.9942221500696234
5.7,0.852489538856603,0.993897309741774
5.8,0.8524281256242161,0.9938257095124812
5.9,0.8524193446908028,0.9938154720307307
6.0,0.85241924658554,0.9938153576521346
