,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,Rt,dRt,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
0,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05,33.67064872118482,33.798575404534255,33.89365039021459,33.95187413578107,33.98140483759737,33.99387598803448,33.9982824961697,33.99959016714674,33.99991691336229,33.99998572496518,33.999997929871235,33.999999748130065,33.99999997451125,33.99999999788075,33.99999999985773,33.999999999992475,33.9999999999997,33.99999999999999,34.0,33.99999999999997,33.9999999999992,33.9999999999844,33.99999999976095,33.99999999703364,33.999999969639426,33.999999740350766,33.9999981267502,33.99998851817808,33.99993989061377,33.99973012150551,33.998957342408076,33.99652304223078,33.989958576808306,33.97477857372229,33.94458222467986,33.89261650425994,33.98742857629397,-0.0006285711853013965,67.27085742505038,,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.05,33.64978226035444,33.74458925919711,33.8264556557447,33.89058697487256,33.93619110563226,33.965653060420884,33.98296155183209,33.99221823211719,33.99672980074481,33.99873590723519,33.99955060193101,33.99985306910084,33.99995582032718,33.99998778341091,33.999996893575556,33.99999927374621,33.9999998438241,33.9999999684273,33.9999999900593,33.99999997628051,33.99999989004848,33.99999951225942,33.99999800183326,33.99999244452692,33.999973619642645,33.99991490552839,33.999746282049955,33.999300328218496,33.99821410032006,33.995776654363425,33.99073524389756,33.98111621866652,33.96416423341479,33.93651916207128,33.89469432676149,33.835787469191956,33.95955672152421,-0.001393592738488181,66.35828957594165,-0.9125678491087257,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.05,33.640269477286395,33.71827476924699,33.78914978278803,33.849566538447164,33.89789345023904,33.934175055291895,33.95974747181605,33.97667476384344,33.98720149304834,33.993354155394364,33.996735424552,33.99848339105289,33.999333776015476,33.99972328576138,33.99989132950378,33.99995963254252,33.99998575948879,33.99999503334836,33.99999765101942,33.999996831655125,33.99999178261557,33.99997721519986,33.99993934813664,33.99984668785104,33.9996322917852,33.999162978485806,33.99819087615536,33.99628513720761,33.99274791082576,33.98652896769861,33.9761654828241,33.95978211933865,33.93518463982453,33.90006250383548,33.85228334208226,33.790224740812654,33.92933095049302,-0.001511288551559531,66.16601872323936,-0.19227085270229338,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.05,33.634929240119476,33.70312942268757,33.76658807149976,33.82286794432206,33.87044551898231,33.908787948816645,33.93824824205572,33.959832471204,33.97491413023004,33.98496616498824,33.99135817408947,33.99523691990507,33.99748344441479,33.99872563326508,33.99938142684809,33.99971182325462,33.999870056788914,33.99994040692622,33.99996514825951,33.99996079267065,33.999925457861146,33.99983866312244,33.999653796007365,33.99928246802528,33.998569456199476,33.9972573609453,33.994941891087855,33.99102196712965,33.98465324963767,33.97471813645251,33.9598278949579,33.93837131605175,33.908617652856194,33.86886986661584,33.81764983947553,33.75388463648639,33.90199302181614,-0.001366896433843934,66.27306203772707,0.10704331448771143,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.05,33.63127138903158,33.692622067567555,33.75053146260836,33.803130193349425,33.84910428821228,33.88777514083055,33.9190801284597,33.94347140535105,33.96176435759454,33.97497132235101,33.984151217879564,33.99029499310806,33.99425447048748,33.9967117524381,33.99817984936056,33.999022835168184,33.999484698350585,33.999718677145594,33.9998118930829,33.999802623865854,33.999689206266574,33.99943037978104,33.998937178004645,33.998056653999456,33.99654817460499,33.99405400684463,33.990067516712784,33.98390430385869,33.9746835009898,33.96132752854086,33.94258800788299,33.917102726369244,33.883483493411,33.840428173377084,33.78684360782814,33.72196141668601,33.876307606738685,-0.0012842707538727183,66.31423196913993,0.041169931412852634,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.05,33.6285649437544,33.684785141853446,33.73836247874197,33.78780889727518,33.8320027823028,33.87025663478069,33.90232591011129,33.92836480363254,33.94884323056272,33.964443595625276,33.97595585653833,33.98418570710604,33.98988500814676,33.99370758178412,33.99618850582609,33.997741830438954,33.998670287427124,33.99918071070889,33.99939996028952,33.99938758128047,33.99914283577443,33.99860493279298,33.997646250358954,33.99605920714278,33.99353833513776,33.98966010503161,33.983864117732146,33.975440211385845,33.963526537821245,33.947123388342355,33.925126223635544,33.89637891760719,33.859744893629525,33.81419016999076,33.75886913126512,33.693201942390296,33.852152439689725,-0.0012077583524479963,66.3516155246377,0.03738355549776884,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.05,33.62645808576316,33.678650748808366,33.72873182644804,33.7754821144998,33.81793886186652,33.85545070607903,33.88769544043691,33.91466221350677,33.936604961779786,33.95397721420821,33.96735948080827,33.97738940291831,33.98470228528978,33.98988634390442,33.993453760215665,33.99582600870334,33.997330219761,33.998202587838804,33.99859487907863,33.9985806876513,33.998158991008395,33.997253575380554,33.995707934730305,33.99327624036897,33.989611911127476,33.98425614828095,33.97662945763544,33.966029540065406,33.95163884425308,33.932544414965356,33.90777138694813,33.876329644522215,33.83727101611289,33.78975225958332,33.733097446499485,33.66685257173892,33.82935122335795,-0.0011400608165885728,66.3818343321367,0.03021880749901129,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.05,33.62475777620689,33.6736801476424,33.72086535056751,33.765291505307765,33.80612435272787,33.84276164342547,33.87485280317647,33.902293916071756,33.925201363641115,33.94386985734611,33.958721789747365,33.9702547710403,33.97899312248482,33.98544733694404,33.99008351338119,33.99330290697889,33.995430280088115,33.99670882724216,33.99729909247376,33.99727942348319,33.99664599362444,33.995311138867,33.99309958551571,33.989742987663256,33.984873967632,33.97802147951761,33.96860971565509,33.95596287005184,33.93931779772436,33.917845936022886,33.890684812753676,33.85697815833637,33.81592224007599,33.766814773031996,33.70910187440293,33.64241821983293,33.807737662235326,-0.00108067805613139,66.4051159016035,0.023281569466789165,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.05,33.62334809551656,33.669546510941466,33.71428325810486,33.75668607968748,33.79602479901089,33.83174741943206,33.86349907166905,33.89112328149923,33.914647190580695,33.934254069041906,33.95024748811563,33.96301179780377,33.97297314324706,33.98056432780542,33.986195623283976,33.99023237654005,33.99297916738134,33.994669471280794,33.99545933559432,33.99542348818614,33.994552512622,33.99275016493072,33.98983048095539,33.985514936531196,33.97943048599305,33.97110973710354,33.959994753530424,33.94544595789614,33.92675731271848,33.903178390888925,33.87394316039767,33.83830439107997,33.7955716711188,33.74515024404139,33.686577384290594,33.61955293011364,33.78716809993923,-0.0010284781148047985,66.42244071129709,0.017324809693590737,,33.6,25.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
