,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,R,dR,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
0,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05,35.56441857437208,34.956766828462264,34.5051606464807,34.22859785503991,34.088327021412496,34.02908905683618,34.00815814319393,34.00194670605298,34.00039466152912,34.00006780641543,34.00000983311165,34.00000119638219,34.00000012107157,34.000000010066444,34.00000000067578,34.00000000003572,34.00000000000143,34.00000000000004,34.0,33.99999999999998,33.99999999999945,33.99999999998945,33.99999999983833,33.99999999799375,33.999999979464846,33.999999824367386,33.99999873278868,33.999992232061366,33.99995932880519,33.999817369742736,33.999294301958244,33.99764621972896,33.99320057387246,33.98291621483475,33.96244783975937,33.927199168458586,33.991486514032836,-0.00042567429835820296,1.5062178139044846,,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.05,35.663534263316386,35.2132010188137,34.824335635212655,34.519711869355326,34.30309224824677,34.1631479630008,34.08093262879757,34.03696339744332,34.01553344646214,34.00600444063287,34.00213464082773,34.000697921771014,34.000209853445725,34.000058028796474,34.0000147555025,34.00000344960556,34.00000074116261,34.000000145810034,34.00000002357309,33.99999998898826,33.999999926365795,33.99999967003748,33.99999864766849,33.99999488599083,33.99998214209612,33.99994238870433,33.99982820054461,33.99952615268172,33.99879027839265,33.9971385768278,33.99372127298931,33.98719863075348,33.97569840775009,33.956933923874516,33.92852623470172,33.8884846501926,33.97257099377082,-0.000945776013100641,0.8858728528689284,-0.6203449610355563,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.05,35.70871998288964,35.33819484607682,35.00153853175685,34.71455894237597,34.48500611136459,34.31266848736354,34.191199508873694,34.11079487174321,34.06079290801772,34.03156776186222,34.015506733303795,34.00720389214089,34.00316456229262,34.001314385569685,34.00051615593367,34.0001916332365,34.00006723016145,34.00002215603211,34.00000642038229,34.00000023288655,33.999995103248686,33.999984746723854,33.999958963928336,33.99989615459809,33.99975087151463,33.999432798333835,33.99877381654588,33.997481592635715,33.99508239263307,33.99086282002233,33.98382839602442,33.972702796074046,33.95599033143085,33.932112317442325,33.89960597858574,33.85734917752625,33.95201066243276,-0.001028016566903034,0.7526427699341269,-0.13323008293480143,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.05,35.73408610943249,35.41013524223404,35.108706660375994,34.84137726446942,34.615383784830556,34.43325724310577,34.2933208501721,34.19079576152871,34.11915788044163,34.071410712759345,34.04104866057645,34.02262458818045,34.01195350183091,34.00605281460771,34.0029369446892,34.0013651727248,34.000607129869756,34.00025635965788,34.00009774901806,34.00002099552984,33.99996734938417,33.99989708918315,33.99976755805837,33.99951430213077,33.99903024938996,33.99814002667253,33.99656883956413,33.99390817444532,33.9895838849694,33.98283538669216,33.9727165458248,33.95812803990297,33.93788652802634,33.91082804843845,33.875933342158994,33.83245425976313,33.93337678142836,-0.0009316940502202443,0.8232562266100416,0.07061345667591468,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.05,35.75146090209829,35.46004517904569,35.18497555257889,34.93513158147883,34.71675463060922,34.53306807978493,34.38436938573733,34.268510811909835,34.181619263345915,34.11888610815507,34.075281403927484,34.04609793665442,34.027289039714944,34.01561351348397,34.00863177833926,34.004608346436946,34.0023712304105,34.001165871116115,34.000525940079875,34.00017025386198,33.999925945006716,33.999673059752325,33.9993040139826,33.99869171399192,33.997661708269575,33.99596587420241,33.99325750006871,33.98906992560295,33.98280282723858,33.97372134534767,33.96097308395651,33.94362624162191,33.920728780507844,33.891384135288284,33.8548345167756,33.810539649603,33.91583800630458,-0.0008769387561887499,0.8495046056777652,0.026248379067723593,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.05,35.764316517081944,35.49727057582534,35.24277822482564,35.00790773456223,34.797986774422434,34.616280958073986,34.46395185496561,34.340266994051625,34.24299417401435,34.16889172945811,34.11420681114972,34.07511116643953,34.04803088964723,34.02985503774762,34.01803143959177,34.010572969211935,34.00600351628891,34.00327159208323,34.001653735324666,34.00066241410435,33.999966076336705,33.99932359935749,33.99853203310911,33.99738506864385,33.995639657001504,33.992989131940256,33.98904255616644,33.98331137630661,33.975205462662665,33.96404092728308,33.94906157125668,33.929474388021276,33.90449743337788,33.873415969039534,33.83564065222447,33.79076026203598,33.899317189321486,-0.0008260408491548078,0.8734686275895881,0.023964021911822897,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.05,35.77432409115396,35.52640893726263,35.288523808279365,35.06645991484884,34.86479030329467,34.68660889620179,34.533446065141085,34.40535311348052,34.301123330296186,34.21860139163011,34.15502773594768,34.107369372965806,34.072600605526,34.04791256697582,34.03084562285159,34.01935081584197,34.01179424184992,34.00692142200055,34.00379821858102,34.00174194621003,34.00025240712453,33.998948724980906,33.99751476096218,33.99565386649641,33.99305273892081,33.989353975376076,33.98413724171937,33.976909445520825,33.96710462491488,33.95409422082634,33.93720788369987,33.91576400105604,33.88910787050405,33.85665413843712,33.817929083219205,33.77260782983529,33.88369891515956,-0.0007809137080961649,0.8927744772514216,0.019305849661833463,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.05,35.78240055008043,35.55001924988577,35.32588946342251,35.114865068659476,34.92090869224674,34.746880803460535,34.5944461931407,34.464097596346534,34.355280525808865,34.26659193752769,34.19601963121882,34.14118945658389,34.09959244693073,34.06877217183306,34.04646188129651,34.030669619169686,34.019716169132984,34.01223488448317,34.00714417721584,34.00360317520358,34.000959489728764,33.99869587659322,33.99638040148522,33.993622911639925,33.99003933721958,33.98522458681104,33.978734432458026,33.97007661477652,33.95871125180957,33.94406036354605,33.92552585594904,33.90251465496689,33.87446893021054,33.84089864285501,33.801413157047776,33.75574851366767,33.86887388231795,-0.0007412516420806981,0.9075459255055164,0.014771448254094821,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.05,35.7890964746068,35.56965381406696,35.35715392320895,35.15573983525555,34.96887953422867,34.79919433027103,34.64836859149505,34.51714325707321,34.4053852490179,34.312216730946226,34.236183180332475,34.175437807449335,34.12792166190682,34.091522998942644,34.06420504575476,34.044097112150524,34.029549123119374,34.01915352745472,34.011740923246265,34.00635671213921,34.00222593550736,33.99871254229306,33.99527807399217,33.99144343778638,33.98675627553761,33.98076551267342,33.97300398257479,33.962979505347356,33.95017436885468,33.93405273873668,33.91407506998751,33.889718106593996,33.86049858115516,33.82599833672118,33.78588837186748,33.73994932828176,33.85474854041616,-0.0007062670950894302,0.9184779343321594,0.010932008826643025,,35.9,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
