,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,Rt,dRt,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
0,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05,34.24701345911137,34.1510684465993,34.07976220733905,34.036094398164195,34.01394637180198,34.00459300897413,34.001288127872726,34.000307374639945,34.00006231497829,34.00001070627613,34.00000155259658,34.000000188902455,34.00000001911656,34.00000000158944,34.0000000001067,34.00000000000564,34.00000000000023,34.00000000000001,34.0,33.99999999999995,33.99999999999868,33.9999999999744,33.99999999960786,33.99999999513398,33.99999995019652,33.99999957407132,33.99999692712036,33.99998116521489,33.999901396537396,33.99955729118972,33.99828962391803,33.99429639623418,33.98352804150148,33.95862674737709,33.90909261025843,33.823847930222875,33.979377825814076,-0.0010311087092961912,66.80391389721642,,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.05,34.26266330473416,34.19155805560216,34.13015825819147,34.082059768845575,34.0478566707758,34.02576020468433,34.012778836125925,34.0058363259121,34.002452649441395,34.00094806957362,34.00033704855175,34.000110198174376,34.000033134754545,34.00000916244108,34.00000232981235,34.00000054464632,34.00000011683551,34.000000021846915,33.99999999703984,33.999999963309556,33.999999819973546,33.99999919995725,33.99999672221222,33.9999876059982,33.99995672564471,33.99986041096705,33.99958380086729,33.99885225775741,33.9970704082448,33.99307201851725,33.98480208035627,33.969023011659424,33.94121493185132,33.895865867859904,33.82725623562087,33.73062511134488,33.93365675451942,-0.0022860535647328817,65.30693351653801,-1.4969803806784086,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.05,34.26979789203521,34.21129392306476,34.15813766290898,34.11282509616463,34.076579912320724,34.04936870853108,34.03018939613792,34.01749392711721,34.00959888021256,34.00498438344782,34.00244843155332,34.001137456552705,34.0004996672687,34.0002075325675,34.00008149013199,34.00003022617756,34.000010498791085,34.000003092668514,33.999999675138355,33.99999585009899,33.99998681426367,33.99996270186907,33.99990052622438,33.99974851122861,33.99939681201486,33.998626948914335,33.99703231031438,33.99390613211981,33.98810365732417,33.97790208516894,33.96090178929511,33.93402645307724,33.893676626699154,33.83606206453805,33.75768477657911,33.65588328346798,33.884074199672305,-0.002479127742355658,64.99152532790627,-0.3154081886317357,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.05,34.27380306991039,34.22265293298431,34.17505894637511,34.13284904175811,34.09716586076173,34.06840903838082,34.04631381843035,34.030125646485864,34.018814401902105,34.01127537469668,34.00648136392767,34.003572291452514,34.00188735625812,34.000955586807194,34.00046336706127,34.00021451751823,34.0000930087708,34.000032931866976,33.9999962790499,33.999956630196245,33.99988558624745,33.99973817288601,33.99943306228562,33.99882328168808,33.99765343505869,33.995500999386024,33.99170267364735,33.98527241029816,33.97482513883371,33.95852753260871,33.934101499756984,33.898903991326925,33.85009585879422,33.78489323551696,33.70087135666862,33.59627010057025,33.83922875491468,-0.0022422722378813375,65.16711260340226,0.1755872754959853,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.05,34.27654645822557,34.230533449320625,34.187101403029914,34.14765235493887,34.11317178367235,34.08416864381771,34.06068990185853,34.042396440404936,34.02867671503162,34.01877145948888,34.01188644954834,34.00727838252032,34.00430816695895,34.00246369176408,34.00135897469379,34.000718257661276,34.00035280564435,34.0001359415635,33.99997920403411,33.99981012834091,33.999550360751435,33.99909172657819,33.99826750504469,33.99681657094478,33.994339353277724,33.99024682959614,33.98370695612752,33.97359663503271,33.958470720649736,33.93656147521906,33.905821015435464,33.864014731486336,33.80886539431314,33.73823692835893,33.65033604952659,33.543902222863146,33.79709398332077,-0.002106738579695389,65.2346407573827,0.06752815398044731,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.05,34.2785762921469,34.236411143446595,34.19622814043699,34.1591433255546,34.12599790902732,34.09730751214684,34.073255535702394,34.05372631416833,34.038367365313604,34.02666677859278,34.018031843460776,34.011857757964414,34.00757949608846,34.004704362503844,34.00282640218148,34.00162609941029,34.00085961262315,34.000341420324034,33.99992315165538,33.999470017695664,33.99883504515707,33.99783052909459,33.99619594397421,33.99356206752446,33.9894122689641,33.983043664200046,33.973532866177884,33.95971291383205,33.94016907329219,33.913260972782965,33.87717651051867,33.830019062247935,33.7699241097684,33.69519543908276,33.60444582589951,33.49672401907452,33.75746933132079,-0.001981232599998961,65.29595815064275,0.061317393260040376,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.05,34.28015643502974,34.241011935796195,34.20345112307633,34.168388395945485,34.13654580830701,34.108411860369344,34.08422815860036,34.06400273546481,34.04754491285252,34.034514076607344,34.02447390226407,34.016944311933365,34.0114453043295,34.00752918229493,34.00480002062343,34.00292103831001,34.0016116466882,34.000636335030194,33.999787387285565,33.9988629466689,33.997641426838136,33.995852941557416,33.993148448680756,33.98906774454736,33.9830082611898,33.974197662323185,33.961674257603185,33.9442799421755,33.92067039051715,33.88934632482665,33.84870772584611,33.797129971172474,33.73305744333304,33.65510674051161,33.562168956220155,33.45349923381022,33.72006565952947,-0.0018701835895662102,65.34552569874478,0.04956754810203279,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.05,34.2814316621472,34.24473986777018,34.209350933616115,34.17603124720734,34.14540645698761,34.117928155155866,34.093859080055076,34.07327678746946,34.05609325363656,34.042086051419886,34.03093581668237,34.02226471737405,34.015671392534855,34.010759063099215,34.007154915401934,34.00452014526549,34.00255104061799,34.000972101362876,33.99952247847226,33.997937066593295,33.99592354755415,33.99313669259145,33.98915138634821,33.9834361704967,33.975329580273424,33.96402205322805,33.94854656202677,33.927781175247944,33.900466314255596,33.865238449659074,33.82068037575732,33.76538615801287,33.6980366405004,33.61747939548903,33.5228055908923,33.413415779345286,33.684610432998504,-0.001772761326548178,65.38372818026305,0.03820248151826888,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.05,34.28248889679047,34.24784000274788,34.21428729183538,34.18248487379196,34.15298022470676,34.12618704529659,34.102370932245066,34.081648222525985,34.06399673023755,34.04927578693214,34.0372521841247,34.02762835678535,34.02006939084118,34.0142260590649,34.00975192158841,34.00631340449182,34.003592562317635,34.00128286238092,33.99907878311312,33.99666032604507,33.99367376010984,33.98971011069308,33.98428311923014,33.97680864278984,33.96658770601212,33.95279559056618,33.93447935566247,33.910565929924275,33.8798823268926,33.841188590612504,33.793222820852776,33.734756182715266,33.66465436227981,33.581940717041874,33.48585561360968,33.375906322774,33.65086875474015,-0.0016870839129175864,65.41220352701261,0.028475346749559094,,34.3,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
